,ASSET,LATITUDE,LONGITUDE,TIME,SPEED,HEADING,REASONS,DISTANCE_TRAVELED,ODOMETER,LOADTS,REASONS_TEXT,ID_HAM_PVMNT_PLYGN,PPOLYLABEL,STREETFROM,STREETTO,ASSETNHOOD
31,153,39.107723,-84.510082,06/30/2021 07:01:24 PM,0.0,NEE,9,0.0,148062.9,06/30/2021 07:01:26 PM,Motion Stop,S-HAM53142,E CENTRAL PKWY,MAIN ST,SYCAMORE ST,CBD/RIVERFRONT
22,153,39.107726,-84.51007,06/30/2021 07:01:30 PM,5.7,E,10,0.0,148062.9,06/30/2021 07:01:31 PM,Motion Start,S-HAM53142,E CENTRAL PKWY,MAIN ST,SYCAMORE ST,CBD/RIVERFRONT
2,153,39.107375,-84.509556,06/30/2021 07:01:48 PM,12.9,S,11,0.1,148063.0,06/30/2021 07:03:43 PM,Standard Event,S-HAM08668,SYCAMORE ST,E COURT ST,E CENTRAL PKWY,CBD/RIVERFRONT
19,153,39.106548,-84.509303,06/30/2021 07:02:06 PM,14.8,SSE,11,0.1,148063.1,06/30/2021 07:03:43 PM,Standard Event,S-HAM08672,SYCAMORE ST,SWIFT AL,E COURT ST,CBD/RIVERFRONT
28,153,39.105576,-84.50911500000001,06/30/2021 07:02:24 PM,15.0,S,11,0.2,148063.1,06/30/2021 07:03:43 PM,Standard Event,S-HAM08675,SYCAMORE ST,E 8TH ST,ALDEN AL,CBD/RIVERFRONT
12,153,39.104385,-84.508741,06/30/2021 07:02:42 PM,14.1,S,11,0.2,148063.2,06/30/2021 07:03:43 PM,Standard Event,I-GJ15413131,E 7TH ST & SYCAMORE ST,,,CBD/RIVERFRONT
26,153,39.103491,-84.50853199999999,06/30/2021 07:03:03 PM,13.4,SSE,11,0.3,148063.2,06/30/2021 07:03:43 PM,Standard Event,S-HAM26052,SYCAMORE ST,E 6TH ST,NEW ST,CBD/RIVERFRONT
18,153,39.102364,-84.508374,06/30/2021 07:03:21 PM,21.3,S,11,0.4,148063.3,06/30/2021 07:03:43 PM,Standard Event,S-HAM26055,SYCAMORE ST,E 5TH ST,CUTS AL,CBD/RIVERFRONT
6,153,39.101394,-84.508207,06/30/2021 07:03:39 PM,9.8,SSW,11,0.5,148063.4,06/30/2021 07:03:43 PM,Standard Event,,,,,
29,153,39.101335,-84.508216,06/30/2021 07:03:42 PM,0.0,SSW,9,0.5,148063.4,06/30/2021 07:03:43 PM,Motion Stop,,,,,
33,153,39.101334,-84.508206,06/30/2021 07:04:16 PM,5.3,SSW,10,0.5,148063.4,06/30/2021 07:04:17 PM,Motion Start,,,,,
13,153,39.101144,-84.508612,06/30/2021 07:04:34 PM,10.3,W,11,0.6,148063.5,06/30/2021 07:04:38 PM,Standard Event,,,,,
17,153,39.101121,-84.50871,06/30/2021 07:04:37 PM,0.0,W,9,0.6,148063.5,06/30/2021 07:04:38 PM,Motion Stop,,,,,
34,153,39.101113,-84.50871,06/30/2021 07:04:41 PM,5.6,W,10,0.6,148063.5,06/30/2021 07:04:42 PM,Motion Start,,,,,
