,ASSET,LATITUDE,LONGITUDE,TIME,SPEED,HEADING,REASONS,DISTANCE_TRAVELED,ODOMETER,LOADTS,REASONS_TEXT,ID_HAM_PVMNT_PLYGN,PPOLYLABEL,STREETFROM,STREETTO,ASSETNHOOD
61610,153,39.10256,-84.511481,07/01/2021 01:00:24 PM,13.2,SWW,11,0.8,148131.3,07/01/2021 01:00:55 PM,Standard Event,,,,,
61304,153,39.102354999999996,-84.512936,07/01/2021 01:00:42 PM,12.2,SWW,11,0.9,148131.3,07/01/2021 01:00:55 PM,Standard Event,,,,,
61022,153,39.102428,-84.513249,07/01/2021 01:00:54 PM,0.0,NNE,9,0.9,148131.3,07/01/2021 01:00:55 PM,Motion Stop,I-GJ15033108,E 6TH ST & VINE ST & W 6TH ST,,,CBD/RIVERFRONT
62630,153,39.102428,-84.513249,07/01/2021 01:01:01 PM,5.6,NNE,10,0.9,148131.3,07/01/2021 01:01:02 PM,Motion Start,I-GJ15033108,E 6TH ST & VINE ST & W 6TH ST,,,CBD/RIVERFRONT
61370,153,39.103029,-84.51354599999999,07/01/2021 01:01:18 PM,0.0,N,9,0.0,148131.4,07/01/2021 01:01:19 PM,Motion Stop,S-HAM08956,VINE ST,W 6TH ST,GANO ST,CBD/RIVERFRONT
61110,153,39.103029,-84.51354599999999,07/01/2021 01:01:23 PM,6.7,N,10,0.0,148131.4,07/01/2021 01:01:24 PM,Motion Start,S-HAM08956,VINE ST,W 6TH ST,GANO ST,CBD/RIVERFRONT
62893,153,39.10434,-84.513835,07/01/2021 01:01:41 PM,12.2,N,11,0.1,148131.5,07/01/2021 01:02:04 PM,Standard Event,I-GJ14973131,VINE ST & E 8TH ST & GARFIELD PL,,,CBD/RIVERFRONT
61888,153,39.105342,-84.51406999999999,07/01/2021 01:01:59 PM,8.5,N,11,0.1,148131.5,07/01/2021 01:02:04 PM,Standard Event,I-GJ14953141,E 9TH ST & W 9TH ST & VINE ST,,,OVER-THE-RHINE
62060,153,39.105449,-84.514099,07/01/2021 01:02:03 PM,0.0,N,9,0.2,148131.6,07/01/2021 01:02:04 PM,Motion Stop,I-GJ14953141,E 9TH ST & W 9TH ST & VINE ST,,,OVER-THE-RHINE
62819,153,39.105469,-84.514103,07/01/2021 01:02:04 PM,3.0,N,10,0.2,148131.6,07/01/2021 01:02:05 PM,Motion Start,S-HAM25743,VINE ST,W 9TH ST,PENDERY AL,OVER-THE-RHINE
62193,153,39.105525,-84.514119,07/01/2021 01:02:11 PM,0.0,N,9,0.2,148131.6,07/01/2021 01:02:12 PM,Motion Stop,S-HAM25743,VINE ST,W 9TH ST,PENDERY AL,OVER-THE-RHINE
60832,153,39.105525,-84.514119,07/01/2021 01:02:23 PM,3.7,N,10,0.2,148131.6,07/01/2021 01:02:24 PM,Motion Start,S-HAM25743,VINE ST,W 9TH ST,PENDERY AL,OVER-THE-RHINE
60771,153,39.105767,-84.514142,07/01/2021 01:02:36 PM,0.0,NNW,9,0.2,148131.6,07/01/2021 01:02:37 PM,Motion Stop,S-HAM25743,VINE ST,W 9TH ST,PENDERY AL,OVER-THE-RHINE
61983,153,39.105795,-84.51418100000001,07/01/2021 01:02:43 PM,5.6,N,10,0.2,148131.6,07/01/2021 01:02:44 PM,Motion Start,S-HAM25743,VINE ST,W 9TH ST,PENDERY AL,OVER-THE-RHINE
61358,153,39.106349,-84.514394,07/01/2021 01:03:07 PM,0.0,N,9,0.2,148131.7,07/01/2021 01:03:08 PM,Motion Stop,I-GJ14933150,VINE ST & E COURT ST & W COURT ST,,,OVER-THE-RHINE
61682,153,39.106349,-84.514394,07/01/2021 01:03:36 PM,3.2,N,10,0.2,148131.7,07/01/2021 01:03:37 PM,Motion Start,I-GJ14933150,VINE ST & E COURT ST & W COURT ST,,,OVER-THE-RHINE
62524,153,39.108193,-84.514787,07/01/2021 01:04:04 PM,19.4,N,11,0.4,148131.8,07/01/2021 01:04:21 PM,Standard Event,S-HAM25859,VINE ST,W CENTRAL PKWY,W 12TH ST,OVER-THE-RHINE
62310,153,39.109049,-84.515,07/01/2021 01:04:19 PM,0.0,N,9,0.4,148131.8,07/01/2021 01:04:21 PM,Motion Stop,S-HAM25860,VINE ST,W 12TH ST,W 13TH ST,OVER-THE-RHINE
61351,153,39.109081,-84.515011,07/01/2021 01:04:39 PM,8.5,NNW,10,0.4,148131.8,07/01/2021 01:04:40 PM,Motion Start,S-HAM25860,VINE ST,W 12TH ST,W 13TH ST,OVER-THE-RHINE
61614,153,39.110803999999995,-84.515443,07/01/2021 01:05:08 PM,16.2,N,11,0.6,148132.0,07/01/2021 01:05:32 PM,Standard Event,S-HAM21705,VINE ST,W 14TH ST,E 14TH ST,OVER-THE-RHINE
62372,153,39.111940000000004,-84.515713,07/01/2021 01:05:26 PM,8.2,N,11,0.6,148132.0,07/01/2021 01:05:32 PM,Standard Event,I-GJ14793213,VINE ST & E 15TH ST,,,OVER-THE-RHINE
61933,153,39.112056,-84.515745,07/01/2021 01:05:30 PM,0.0,N,9,0.6,148132.0,07/01/2021 01:05:32 PM,Motion Stop,S-HAM21680,VINE ST,W 15TH ST,W LIBERTY ST,OVER-THE-RHINE
60961,153,39.112086,-84.515754,07/01/2021 01:06:06 PM,3.1,N,10,0.0,148132.0,07/01/2021 01:06:08 PM,Motion Start,S-HAM21680,VINE ST,W 15TH ST,W LIBERTY ST,OVER-THE-RHINE
62722,153,39.113575,-84.516162,07/01/2021 01:06:34 PM,16.0,NNW,11,0.1,148132.2,07/01/2021 01:06:43 PM,Standard Event,S-HAM08561,VINE ST,HUBERT ST,FOLTZ AL,OVER-THE-RHINE
62779,153,39.113896000000004,-84.516245,07/01/2021 01:06:41 PM,0.0,N,9,0.1,148132.2,07/01/2021 01:06:43 PM,Motion Stop,S-HAM08561,VINE ST,HUBERT ST,FOLTZ AL,OVER-THE-RHINE
61630,153,39.113919,-84.516249,07/01/2021 01:06:57 PM,5.2,N,10,0.1,148132.2,07/01/2021 01:06:58 PM,Motion Start,S-HAM08561,VINE ST,HUBERT ST,FOLTZ AL,OVER-THE-RHINE
61909,153,39.114816999999995,-84.516456,07/01/2021 01:07:16 PM,16.8,NNW,11,0.2,148132.2,07/01/2021 01:07:37 PM,Standard Event,S-HAM08562,VINE ST,SPECHT AL,SCHEDEL AL,OVER-THE-RHINE
60888,153,39.115907,-84.516717,07/01/2021 01:07:34 PM,4.4,N,11,0.2,148132.3,07/01/2021 01:07:37 PM,Standard Event,S-HAM08567,VINE ST,E ELDER ST,BARDES AL,OVER-THE-RHINE
62157,153,39.11594,-84.516724,07/01/2021 01:07:36 PM,0.0,N,9,0.2,148132.3,07/01/2021 01:07:37 PM,Motion Stop,S-HAM08567,VINE ST,E ELDER ST,BARDES AL,OVER-THE-RHINE
61317,153,39.115961999999996,-84.516728,07/01/2021 01:08:16 PM,5.2,N,10,0.2,148132.3,07/01/2021 01:08:17 PM,Motion Start,S-HAM08567,VINE ST,E ELDER ST,BARDES AL,OVER-THE-RHINE
62812,153,39.117048,-84.517421,07/01/2021 01:08:34 PM,22.2,NW,11,0.3,148132.3,07/01/2021 01:09:53 PM,Standard Event,S-HAM08496,W MCMICKEN AV,E MCMICKEN AV,OHIO AV,OVER-THE-RHINE
62026,153,39.118301,-84.51900400000001,07/01/2021 01:08:52 PM,23.9,NWW,11,0.4,148132.5,07/01/2021 01:09:53 PM,Standard Event,I-GJ14493282,OHIO AV & RACE ST & W MCMICKEN AV,,,OVER-THE-RHINE
62466,153,39.118885,-84.520556,07/01/2021 01:09:10 PM,5.0,NWW,11,0.6,148132.6,07/01/2021 01:09:53 PM,Standard Event,S-HAM08330,W MCMICKEN AV,CLYMER AL,ELM ST,OVER-THE-RHINE
62268,153,39.119824,-84.523191,07/01/2021 01:09:40 PM,19.9,NWW,11,0.7,148132.7,07/01/2021 01:09:53 PM,Standard Event,I-GJ14113299,W MCMICKEN AV & HAMBURG ST,,,OVER-THE-RHINE
62267,153,39.120098999999996,-84.523995,07/01/2021 01:09:52 PM,0.0,NWW,9,0.7,148132.8,07/01/2021 01:09:53 PM,Motion Stop,S-HAM08337,W MCMICKEN AV,STONEWALL ST,NAGEL AL,OVER-THE-RHINE
62801,153,39.1201,-84.524001,07/01/2021 01:10:02 PM,3.8,NWW,10,0.7,148132.8,07/01/2021 01:10:03 PM,Motion Start,S-HAM08337,W MCMICKEN AV,STONEWALL ST,NAGEL AL,OVER-THE-RHINE
60836,153,39.120074,-84.524443,07/01/2021 01:10:20 PM,13.3,SWW,11,0.8,148132.8,07/01/2021 01:10:26 PM,Standard Event,S-HAM10393,MOHAWK PL,CENTRAL PKWY,W MCMICKEN AV,OVER-THE-RHINE
61108,153,39.120013,-84.524683,07/01/2021 01:10:25 PM,0.0,SW,9,0.8,148132.8,07/01/2021 01:10:26 PM,Motion Stop,S-HAM10393,MOHAWK PL,CENTRAL PKWY,W MCMICKEN AV,OVER-THE-RHINE
64912,153,39.120013,-84.524704,07/01/2021 01:11:52 PM,5.0,SWW,10,0.0,148132.8,07/01/2021 01:11:53 PM,Motion Start,S-HAM10393,MOHAWK PL,CENTRAL PKWY,W MCMICKEN AV,OVER-THE-RHINE
64859,153,39.120618,-84.52611999999999,07/01/2021 01:12:10 PM,27.4,NWW,11,0.1,148132.9,07/01/2021 01:13:37 PM,Standard Event,S-HAM19176,CENTRAL PKWY,CENTRAL AV,RAVINE ST,OVER-THE-RHINE
64468,153,39.121272999999995,-84.52895799999999,07/01/2021 01:12:28 PM,33.8,NWW,11,0.2,148133.1,07/01/2021 01:13:37 PM,Standard Event,S-HAM20097,CENTRAL PKWY,RAVINE ST,KINDEL AV,CUF
64886,153,39.121885,-84.53161999999999,07/01/2021 01:12:46 PM,14.9,NWW,11,0.4,148133.2,07/01/2021 01:13:37 PM,Standard Event,S-HAM20097,CENTRAL PKWY,RAVINE ST,KINDEL AV,CUF
64658,153,39.121845,-84.532526,07/01/2021 01:13:04 PM,19.3,NWW,11,0.4,148133.3,07/01/2021 01:13:37 PM,Standard Event,I-GJ13313321,BRIGHTON BRIDGE APPROACH & CENTRAL AV & HARRISON AV & COLERAIN AV,,,WEST END
64122,153,39.122859999999996,-84.53514799999999,07/01/2021 01:13:27 PM,24.7,W,11,0.6,148133.4,07/01/2021 01:13:37 PM,Standard Event,S-HAM64293,HARRISON AV,WINCHELL AV,SPRING GROVE AV,WEST END
63329,153,39.123001,-84.53584000000001,07/01/2021 01:13:36 PM,0.0,W,9,0.6,148133.5,07/01/2021 01:13:37 PM,Motion Stop,S-HAM64293,HARRISON AV,WINCHELL AV,SPRING GROVE AV,WEST END
63742,153,39.122993,-84.535883,07/01/2021 01:13:53 PM,4.6,NWW,10,0.6,148133.5,07/01/2021 01:13:54 PM,Motion Start,S-HAM64293,HARRISON AV,WINCHELL AV,SPRING GROVE AV,WEST END
65037,153,39.124119,-84.536041,07/01/2021 01:14:11 PM,9.3,N,11,0.7,148133.5,07/01/2021 01:14:16 PM,Standard Event,B-3109453,WESTRN HILLS VIA TO I-75 SB RAMP BRIDGE OVER SPRING GROVE AV,,,WEST END
63815,153,39.124190999999996,-84.536048,07/01/2021 01:14:14 PM,0.0,N,9,0.7,148133.6,07/01/2021 01:14:16 PM,Motion Stop,S-HAM27400,SPRING GROVE AV,HARRISON AV,BUCK ST,WEST END
65074,153,39.124218,-84.536052,07/01/2021 01:14:21 PM,3.3,N,10,0.7,148133.6,07/01/2021 01:14:23 PM,Motion Start,S-HAM27400,SPRING GROVE AV,HARRISON AV,BUCK ST,WEST END
64081,153,39.126483,-84.535915,07/01/2021 01:14:46 PM,29.2,N,11,0.0,148133.7,07/01/2021 01:17:44 PM,Standard Event,S-HAM27376,SPRING GROVE AV,BUCK ST,DRAPER ST,CAMP WASHINGTON
63762,153,39.128719,-84.536429,07/01/2021 01:15:04 PM,33.0,N,11,0.1,148133.8,07/01/2021 01:17:44 PM,Standard Event,S-HAM25614,SPRING GROVE AV,DRAPER ST,ALFRED ST,CAMP WASHINGTON
64521,153,39.133806,-84.53772,07/01/2021 01:15:43 PM,31.2,NNW,11,0.5,148134.2,07/01/2021 01:17:44 PM,Standard Event,S-HAM25576,SPRING GROVE AV,MARSHALL AV,TOWNSHIP ST,CAMP WASHINGTON
65049,153,39.135829,-84.538494,07/01/2021 01:16:01 PM,22.1,NNW,11,0.6,148134.3,07/01/2021 01:17:44 PM,Standard Event,I-GJ12743474,SPRING GROVE AV & BURLINGTON PL,,,CAMP WASHINGTON
63811,153,39.136181,-84.540591,07/01/2021 01:16:19 PM,28.1,W,11,0.7,148134.5,07/01/2021 01:17:44 PM,Standard Event,S-HAM25569,SPRING GROVE AV,GARRARD AV,MEEKER ST,CAMP WASHINGTON
63464,153,39.137506,-84.541799,07/01/2021 01:16:37 PM,31.3,N,11,0.9,148134.6,07/01/2021 01:17:44 PM,Standard Event,S-HAM25556,SPRING GROVE AV,MEEKER ST,AVON PL,CAMP WASHINGTON
64007,153,39.142713,-84.541679,07/01/2021 01:17:13 PM,38.2,N,11,1.2,148135.0,07/01/2021 01:17:44 PM,Standard Event,S-HAM25557,SPRING GROVE AV,ALABAMA AV,MONMOUTH AV,CAMP WASHINGTON
63083,153,39.147331,-84.541329,07/01/2021 01:17:43 PM,37.5,N,11,1.6,148135.3,07/01/2021 01:17:44 PM,Standard Event,S-HAM21979,SPRING GROVE AV,ARLINGTON ST,BRASHEARS ST,CAMP WASHINGTON
63760,153,39.150458,-84.541798,07/01/2021 01:18:03 PM,38.6,N,11,1.8,148135.5,07/01/2021 01:20:52 PM,Standard Event,S-HAM21915,SPRING GROVE AV,BRASHEARS ST,RALSTON AV,CAMP WASHINGTON
64183,153,39.153267,-84.542525,07/01/2021 01:18:22 PM,29.8,N,11,2.0,148135.7,07/01/2021 01:20:52 PM,Standard Event,B-3137031,SPRING GROVE AV BRIDGE OVER MILL CREEK,,,SOUTH CUMMINSVILLE
63774,153,39.155102,-84.541009,07/01/2021 01:18:40 PM,36.5,NE,11,2.1,148135.8,07/01/2021 01:20:52 PM,Standard Event,S-HAM29487,SPRING GROVE AV,SPRING GRVE AV TO I-74 EB EXWY RAMP,ELMORE ST,NORTHSIDE
64891,153,39.157056,-84.538647,07/01/2021 01:18:58 PM,32.7,NNE,11,2.3,148136.0,07/01/2021 01:20:52 PM,Standard Event,S-HAM30567,WILLIAM P DOOLEY BYPS,ELMORE ST,OLD LUDLOW AV,NORTHSIDE
64054,153,39.158879999999996,-84.536785,07/01/2021 01:19:16 PM,34.2,NEE,11,2.5,148136.2,07/01/2021 01:20:52 PM,Standard Event,S-HAM07257,WILLIAM P DOOLEY BYPS,OLD LUDLOW AV,MAD ANTHONY ST,NORTHSIDE
63409,153,39.159328,-84.533375,07/01/2021 01:19:34 PM,36.2,E,11,2.7,148136.4,07/01/2021 01:20:52 PM,Standard Event,S-HAM07512,WILLIAM P DOOLEY BYPS,MAD ANTHONY ST,DANE AV,NORTHSIDE
64451,153,39.160133,-84.530366,07/01/2021 01:19:52 PM,31.5,NE,11,2.9,148136.6,07/01/2021 01:20:52 PM,Standard Event,S-HAM07511,SPRING GROVE AV,DANE AV,CRAWFORD AV,NORTHSIDE
63452,153,39.164667,-84.52204,07/01/2021 01:20:51 PM,27.8,NEE,11,3.4,148137.1,07/01/2021 01:20:52 PM,Standard Event,S-HAM27220,SPRING GROVE AV,CATAFALQUE DR,WINTON RD,SPRING GROVE VILLAGE
63502,153,39.164896,-84.521049,07/01/2021 01:21:02 PM,0.0,E,9,3.4,148137.1,07/01/2021 01:21:03 PM,Motion Stop,S-HAM27220,SPRING GROVE AV,CATAFALQUE DR,WINTON RD,SPRING GROVE VILLAGE
63220,153,39.1649,-84.521041,07/01/2021 01:21:20 PM,3.0,E,10,0.0,148137.1,07/01/2021 01:21:21 PM,Motion Start,S-HAM27220,SPRING GROVE AV,CATAFALQUE DR,WINTON RD,SPRING GROVE VILLAGE
63576,153,39.165574,-84.520388,07/01/2021 01:21:38 PM,25.5,N,11,0.1,148137.2,07/01/2021 01:23:23 PM,Standard Event,S-HAM27208,WINTON RD,SPRING GROVE AV,KEENAN AV,SPRING GROVE VILLAGE
63676,153,39.170873,-84.519937,07/01/2021 01:22:20 PM,27.6,N,11,0.4,148137.6,07/01/2021 01:23:23 PM,Standard Event,S-HAM00092,WINTON RD,CIRCLE AV,DERBY AV,SPRING GROVE VILLAGE
65044,153,39.172703999999996,-84.519759,07/01/2021 01:22:38 PM,19.8,N,11,0.6,148137.7,07/01/2021 01:23:23 PM,Standard Event,S-HAM00084,WINTON RD,MCMAKIN AV,EAST EPWORTH AV,SPRING GROVE VILLAGE
63662,153,39.175311,-84.51956,07/01/2021 01:23:11 PM,22.4,N,11,0.7,148137.9,07/01/2021 01:23:23 PM,Standard Event,I-GJ14273916,WINTON RD & BEECHWOOD AV,,,SPRING GROVE VILLAGE
64915,153,39.175917,-84.51961999999999,07/01/2021 01:23:21 PM,0.0,N,9,0.8,148137.9,07/01/2021 01:23:23 PM,Motion Stop,I-GJ14253924,WINTON RD & FROOME AV & GRAY RD,,,SPRING GROVE VILLAGE
64952,153,39.175939,-84.519632,07/01/2021 01:23:30 PM,8.0,NNW,10,0.8,148137.9,07/01/2021 01:23:31 PM,Motion Start,I-GJ14253924,WINTON RD & FROOME AV & GRAY RD,,,SPRING GROVE VILLAGE
65339,153,39.176792999999996,-84.521288,07/01/2021 01:23:48 PM,30.2,NWW,11,0.0,148138.1,07/01/2021 01:26:16 PM,Standard Event,S-HAM02247,GRAY RD,FROOME AV,GROESBECK RD,SPRING GROVE VILLAGE
66327,153,39.178996000000005,-84.525386,07/01/2021 01:24:16 PM,35.1,NW,11,0.2,148138.3,07/01/2021 01:26:16 PM,Standard Event,S-HAM02247,GRAY RD,FROOME AV,GROESBECK RD,SPRING GROVE VILLAGE
66303,153,39.180989000000004,-84.526677,07/01/2021 01:24:34 PM,32.3,NNW,11,0.4,148138.4,07/01/2021 01:26:16 PM,Standard Event,S-HAM02247,GRAY RD,FROOME AV,GROESBECK RD,SPRING GROVE VILLAGE
66421,153,39.183365,-84.52731700000001,07/01/2021 01:24:52 PM,35.5,N,11,0.6,148138.6,07/01/2021 01:26:16 PM,Standard Event,S-HAM02247,GRAY RD,FROOME AV,GROESBECK RD,SPRING GROVE VILLAGE
65794,153,39.185806,-84.528047,07/01/2021 01:25:10 PM,33.9,NNW,11,0.7,148138.8,07/01/2021 01:26:16 PM,Standard Event,S-HAM02247,GRAY RD,FROOME AV,GROESBECK RD,SPRING GROVE VILLAGE
65104,153,39.188169,-84.528925,07/01/2021 01:25:28 PM,33.8,N,11,0.9,148138.9,07/01/2021 01:26:16 PM,Standard Event,S-HAM02247,GRAY RD,FROOME AV,GROESBECK RD,SPRING GROVE VILLAGE
65716,153,39.19025,-84.529075,07/01/2021 01:25:46 PM,29.7,NNW,11,1.1,148139.1,07/01/2021 01:26:16 PM,Standard Event,S-HAM12966,GROESBECK RD,GRAY RD,KIEFER CT,SPRING GROVE VILLAGE
66869,153,39.191731,-84.530169,07/01/2021 01:26:04 PM,21.8,NNW,11,1.2,148139.2,07/01/2021 01:26:16 PM,Standard Event,S-HAM12966,GROESBECK RD,GRAY RD,KIEFER CT,SPRING GROVE VILLAGE
66970,153,39.193199,-84.530387,07/01/2021 01:26:22 PM,28.1,NW,11,1.3,148139.4,07/01/2021 01:28:15 PM,Standard Event,S-HAM12966,GROESBECK RD,GRAY RD,KIEFER CT,SPRING GROVE VILLAGE
66548,153,39.19318,-84.53218000000001,07/01/2021 01:26:40 PM,27.6,SW,11,1.4,148139.5,07/01/2021 01:28:15 PM,Standard Event,S-HAM12966,GROESBECK RD,GRAY RD,KIEFER CT,SPRING GROVE VILLAGE
66734,153,39.193158000000004,-84.534646,07/01/2021 01:26:58 PM,26.7,W,11,1.6,148139.6,07/01/2021 01:28:15 PM,Standard Event,I-GJ12904111,GROESBECK RD & PEARTON CT,,,COLLEGE HILL
65081,153,39.193989,-84.535699,07/01/2021 01:27:16 PM,24.5,N,11,1.7,148139.7,07/01/2021 01:28:15 PM,Standard Event,S-HAM01963,ARGUS RD,GROESBECK RD,GRAYVIEW CT,COLLEGE HILL
65399,153,39.198908,-84.535085,07/01/2021 01:28:02 PM,13.7,N,11,2.0,148140.0,07/01/2021 01:28:15 PM,Standard Event,S-HAM03295,ARGUS RD,CEDAR AV,ATWOOD AV,COLLEGE HILL
66322,153,39.19914,-84.535415,07/01/2021 01:28:14 PM,0.0,NWW,9,2.1,148140.1,07/01/2021 01:28:15 PM,Motion Stop,I-GJ12834177,ARGUS RD & HOMESIDE AV & ATWOOD AV,,,COLLEGE HILL
65113,153,39.199149,-84.535438,07/01/2021 01:31:53 PM,6.4,W,10,0.0,148140.1,07/01/2021 01:31:54 PM,Motion Start,I-GJ12834177,ARGUS RD & HOMESIDE AV & ATWOOD AV,,,COLLEGE HILL
66106,153,39.19907,-84.535575,07/01/2021 01:31:59 PM,0.0,SSW,9,0.0,148140.1,07/01/2021 01:32:00 PM,Motion Stop,I-GJ12834177,ARGUS RD & HOMESIDE AV & ATWOOD AV,,,COLLEGE HILL
65802,153,39.199059000000005,-84.53556400000001,07/01/2021 01:32:12 PM,4.7,SSW,10,0.0,148140.1,07/01/2021 01:32:13 PM,Motion Start,I-GJ12834177,ARGUS RD & HOMESIDE AV & ATWOOD AV,,,COLLEGE HILL
65219,153,39.199055,-84.535454,07/01/2021 01:32:18 PM,0.0,NEE,9,0.0,148140.1,07/01/2021 01:32:19 PM,Motion Stop,I-GJ12834177,ARGUS RD & HOMESIDE AV & ATWOOD AV,,,COLLEGE HILL
65638,153,39.199046,-84.535418,07/01/2021 01:34:04 PM,5.9,E,10,0.0,148140.1,07/01/2021 01:34:05 PM,Motion Start,I-GJ12834177,ARGUS RD & HOMESIDE AV & ATWOOD AV,,,COLLEGE HILL
65941,153,39.198669,-84.535161,07/01/2021 01:34:22 PM,17.8,S,11,0.0,148140.2,07/01/2021 01:36:37 PM,Standard Event,S-HAM03295,ARGUS RD,CEDAR AV,ATWOOD AV,COLLEGE HILL
66078,153,39.197019,-84.53540500000001,07/01/2021 01:34:41 PM,23.8,S,11,0.1,148140.3,07/01/2021 01:36:37 PM,Standard Event,S-HAM02269,ARGUS RD,ALBANY TER,CEDAR AV,COLLEGE HILL
66753,153,39.194809,-84.535662,07/01/2021 01:35:05 PM,21.0,S,11,0.2,148140.4,07/01/2021 01:36:37 PM,Standard Event,S-HAM01963,ARGUS RD,GROESBECK RD,GRAYVIEW CT,COLLEGE HILL
