,ASSET,LATITUDE,LONGITUDE,TIME,SPEED,HEADING,REASONS,DISTANCE_TRAVELED,ODOMETER,LOADTS,REASONS_TEXT,ID_HAM_PVMNT_PLYGN,PPOLYLABEL,STREETFROM,STREETTO,ASSETNHOOD
1845,153,39.147281,-84.548795,07/01/2021 06:39:00 AM,3.6,E,10,0.0,148069.3,07/01/2021 06:39:01 AM,Motion Start,,,,,
1786,153,39.147609,-84.548509,07/01/2021 06:39:18 AM,6.4,NNE,11,0.1,148069.3,07/01/2021 06:40:04 AM,Standard Event,,,,,
1904,153,39.148441999999996,-84.54820500000001,07/01/2021 06:39:54 AM,7.8,N,11,0.1,148069.4,07/01/2021 06:40:04 AM,Standard Event,,,,,
1936,153,39.148682,-84.548171,07/01/2021 06:40:03 AM,0.0,NNE,9,0.1,148069.4,07/01/2021 06:40:04 AM,Motion Stop,,,,,
2598,153,39.148696,-84.548165,07/01/2021 06:55:01 AM,4.6,NNE,10,0.0,148069.4,07/01/2021 06:55:01 AM,Motion Start,,,,,
2254,153,39.149029999999996,-84.547691,07/01/2021 06:55:21 AM,0.0,E,9,0.1,148069.5,07/01/2021 06:55:21 AM,Motion Stop,S-HAM21878,MILLCREEK RD,LLEWELLYN ST,GERINGER ST,SOUTH CUMMINSVILLE
2262,153,39.149031,-84.547692,07/01/2021 06:56:04 AM,7.9,E,10,0.1,148069.5,07/01/2021 06:56:04 AM,Motion Start,S-HAM21878,MILLCREEK RD,LLEWELLYN ST,GERINGER ST,SOUTH CUMMINSVILLE
2879,153,39.148859,-84.54540899999999,07/01/2021 06:56:25 AM,20.1,E,11,0.0,148069.6,07/01/2021 06:57:17 AM,Standard Event,S-HAM21878,MILLCREEK RD,LLEWELLYN ST,GERINGER ST,SOUTH CUMMINSVILLE
3396,153,39.150052,-84.544496,07/01/2021 06:56:43 AM,25.6,NNE,11,0.1,148069.6,07/01/2021 06:57:17 AM,Standard Event,S-HAM21878,MILLCREEK RD,LLEWELLYN ST,GERINGER ST,SOUTH CUMMINSVILLE
3149,153,39.151362,-84.543429,07/01/2021 06:57:01 AM,20.0,NE,11,0.2,148069.8,07/01/2021 06:57:17 AM,Standard Event,I-GJ12273645,MILLCREEK RD & RALSTON AV,,,CAMP WASHINGTON
3053,153,39.151646,-84.54221,07/01/2021 06:57:16 AM,0.0,NEE,9,0.2,148069.8,07/01/2021 06:57:17 AM,Motion Stop,I-GJ12393648,SPRING GROVE AV & RALSTON AV,,,CAMP WASHINGTON
2829,153,39.151648,-84.542197,07/01/2021 06:57:22 AM,6.2,NEE,10,0.2,148069.8,07/01/2021 06:57:23 AM,Motion Start,I-GJ12393648,SPRING GROVE AV & RALSTON AV,,,CAMP WASHINGTON
3418,153,39.153021,-84.54239100000001,07/01/2021 06:57:40 AM,27.4,N,11,0.4,148070.0,07/01/2021 07:00:33 AM,Standard Event,B-3137031,SPRING GROVE AV BRIDGE OVER MILL CREEK,,,SOUTH CUMMINSVILLE
2833,153,39.154731,-84.541494,07/01/2021 06:57:58 AM,28.0,NE,11,0.5,148070.1,07/01/2021 07:00:33 AM,Standard Event,S-HAM29487,SPRING GROVE AV,SPRING GRVE AV TO I-74 EB EXWY RAMP,ELMORE ST,NORTHSIDE
2886,153,39.156803000000004,-84.538903,07/01/2021 06:58:20 AM,32.7,NE,11,0.7,148070.3,07/01/2021 07:00:33 AM,Standard Event,S-HAM30567,WILLIAM P DOOLEY BYPS,ELMORE ST,OLD LUDLOW AV,NORTHSIDE
