,ASSET,LATITUDE,LONGITUDE,TIME,SPEED,HEADING,REASONS,DISTANCE_TRAVELED,ODOMETER,LOADTS,REASONS_TEXT,ID_HAM_PVMNT_PLYGN,PPOLYLABEL,STREETFROM,STREETTO,ASSETNHOOD
14,258,39.139476,-84.533322,06/30/2021 07:04:47 PM,1.5,SSE,10,0.0,3276.9,06/30/2021 07:04:49 PM,Motion Start,,,,,
30,258,39.139471,-84.533323,06/30/2021 07:04:48 PM,0.0,SSE,9,0.0,3276.9,06/30/2021 07:04:50 PM,Motion Stop,,,,,
1,258,39.139728000000005,-84.53325500000001,06/30/2021 07:10:33 PM,7.1,N,10,0.0,3276.9,06/30/2021 07:10:36 PM,Motion Start,,,,,
5,258,39.13994,-84.533278,06/30/2021 07:10:43 PM,0.0,N,9,0.0,3276.9,06/30/2021 07:10:46 PM,Motion Stop,,,,,
61,258,39.139909,-84.533367,06/30/2021 07:12:24 PM,3.6,N,10,0.0,3276.9,06/30/2021 07:12:27 PM,Motion Start,,,,,
108,258,39.139920000000004,-84.533378,06/30/2021 07:12:33 PM,0.0,N,9,0.0,3276.9,06/30/2021 07:12:33 PM,Motion Stop,,,,,
99,258,39.139505,-84.533406,06/30/2021 07:16:28 PM,4.7,NW,10,0.0,3277.0,06/30/2021 07:16:32 PM,Motion Start,,,,,
97,258,39.139542999999996,-84.533412,06/30/2021 07:16:32 PM,0.0,NW,9,0.0,3277.0,06/30/2021 07:16:32 PM,Motion Stop,,,,,
388,258,39.139553,-84.53319300000001,06/30/2021 08:11:58 PM,4.2,NNE,10,0.0,3277.0,06/30/2021 08:12:02 PM,Motion Start,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
413,258,39.139594,-84.533175,06/30/2021 08:12:02 PM,0.0,NNE,9,0.0,3277.0,06/30/2021 08:12:03 PM,Motion Stop,,,,,
408,258,39.139497999999996,-84.533332,06/30/2021 08:19:07 PM,3.1,SSE,10,0.0,3277.0,06/30/2021 08:19:11 PM,Motion Start,,,,,
426,258,39.139503000000005,-84.533324,06/30/2021 08:19:12 PM,0.0,SSE,9,0.0,3277.0,06/30/2021 08:19:13 PM,Motion Stop,,,,,
416,258,39.139631,-84.533373,06/30/2021 08:20:02 PM,3.1,NE,10,0.0,3277.0,06/30/2021 08:20:14 PM,Motion Start,,,,,
439,258,39.139694,-84.533332,06/30/2021 08:20:09 PM,0.0,NNE,9,0.0,3277.0,06/30/2021 08:20:14 PM,Motion Stop,,,,,
474,258,39.139448,-84.533373,06/30/2021 08:33:53 PM,3.3,NNE,10,0.0,3277.0,06/30/2021 08:33:57 PM,Motion Start,,,,,
536,258,39.139447,-84.533423,06/30/2021 08:33:55 PM,0.0,NNE,9,0.0,3277.0,06/30/2021 08:33:58 PM,Motion Stop,,,,,
763,258,39.139489000000005,-84.53334,06/30/2021 09:12:10 PM,2.3,NNE,10,0.0,3277.0,06/30/2021 09:12:14 PM,Motion Start,,,,,
751,258,39.139493,-84.533331,06/30/2021 09:12:12 PM,0.0,NNE,9,0.0,3277.0,06/30/2021 09:12:14 PM,Motion Stop,,,,,
850,258,39.139553,-84.533271,06/30/2021 09:33:15 PM,2.5,N,10,0.0,3277.0,06/30/2021 09:33:27 PM,Motion Start,,,,,
882,258,39.139559999999996,-84.533271,06/30/2021 09:33:16 PM,0.0,N,9,0.0,3277.0,06/30/2021 09:33:28 PM,Motion Stop,,,,,
837,258,39.139424,-84.533292,06/30/2021 09:36:08 PM,2.6,NNE,10,0.0,3277.0,06/30/2021 09:37:12 PM,Motion Start,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
861,258,39.139414,-84.53330600000001,06/30/2021 09:36:11 PM,0.0,NNE,9,0.0,3277.0,06/30/2021 09:37:13 PM,Motion Stop,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
865,258,39.13944,-84.53335600000001,06/30/2021 09:40:53 PM,5.5,NEE,10,0.0,3277.0,06/30/2021 09:40:56 PM,Motion Start,,,,,
876,258,39.13944,-84.533361,06/30/2021 09:40:56 PM,0.0,NEE,9,0.0,3277.0,06/30/2021 09:40:57 PM,Motion Stop,,,,,
877,258,39.139441999999995,-84.533316,06/30/2021 09:40:57 PM,5.3,NEE,10,0.0,3277.0,06/30/2021 09:40:58 PM,Motion Start,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
844,258,39.139438,-84.53329599999999,06/30/2021 09:41:02 PM,0.0,NEE,9,0.0,3277.0,06/30/2021 09:41:04 PM,Motion Stop,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
904,258,39.139455,-84.533236,06/30/2021 09:42:28 PM,3.2,NEE,10,0.0,3277.0,06/30/2021 09:42:31 PM,Motion Start,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
948,258,39.139505,-84.533138,06/30/2021 09:42:33 PM,0.0,E,9,0.0,3277.0,06/30/2021 09:42:35 PM,Motion Stop,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
937,258,39.139418,-84.533386,06/30/2021 09:55:32 PM,3.2,NE,10,0.0,3277.0,06/30/2021 09:55:35 PM,Motion Start,,,,,
912,258,39.139418,-84.533394,06/30/2021 09:55:35 PM,0.0,NE,9,0.0,3277.0,06/30/2021 09:55:36 PM,Motion Stop,,,,,
989,258,39.139427000000005,-84.533423,06/30/2021 09:56:17 PM,3.8,NE,10,0.0,3277.0,06/30/2021 09:56:54 PM,Motion Start,,,,,
1014,258,39.139444,-84.533395,06/30/2021 09:56:19 PM,0.0,NE,9,0.0,3277.0,06/30/2021 09:56:55 PM,Motion Stop,,,,,
998,258,39.139417,-84.533422,06/30/2021 09:56:32 PM,7.3,SW,10,0.0,3277.0,06/30/2021 09:56:55 PM,Motion Start,,,,,
1011,258,39.139377,-84.53347,06/30/2021 09:56:53 PM,0.0,SW,9,0.0,3277.1,06/30/2021 09:56:55 PM,Motion Stop,,,,,
990,258,39.139532,-84.533252,06/30/2021 09:57:26 PM,3.4,NE,10,0.0,3277.1,06/30/2021 09:57:30 PM,Motion Start,,,,,
1009,258,39.13958,-84.53314300000001,06/30/2021 09:57:34 PM,0.0,NE,9,0.0,3277.1,06/30/2021 09:57:36 PM,Motion Stop,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
1086,258,39.139655,-84.533334,06/30/2021 10:15:00 PM,5.5,E,10,0.0,3277.1,06/30/2021 10:15:04 PM,Motion Start,,,,,
1067,258,39.139544,-84.532782,06/30/2021 10:15:20 PM,0.0,E,9,0.0,3277.1,06/30/2021 10:15:23 PM,Motion Stop,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
1045,258,39.139409,-84.533015,06/30/2021 10:17:33 PM,2.6,E,10,0.0,3277.1,06/30/2021 10:17:37 PM,Motion Start,S-HAM27327,CENTRAL PKWY,W MARTIN LUTHER KING JR DR,BATES AV,
1041,258,39.139331,-84.53296800000001,06/30/2021 10:17:43 PM,0.0,E,9,0.0,3277.1,06/30/2021 10:17:46 PM,Motion Stop,S-HAM27327,CENTRAL PKWY,W MARTIN LUTHER KING JR DR,BATES AV,
1040,258,39.139384,-84.533052,06/30/2021 10:23:59 PM,3.1,E,10,0.0,3277.1,06/30/2021 10:24:02 PM,Motion Start,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
1082,258,39.13939,-84.533067,06/30/2021 10:24:01 PM,0.0,E,9,0.0,3277.1,06/30/2021 10:24:03 PM,Motion Stop,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
1062,258,39.139379999999996,-84.533171,06/30/2021 10:24:29 PM,2.0,E,10,0.0,3277.2,06/30/2021 10:24:33 PM,Motion Start,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
1054,258,39.1393,-84.533162,06/30/2021 10:24:36 PM,0.0,SSE,9,0.0,3277.2,06/30/2021 10:24:37 PM,Motion Stop,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
1042,258,39.139402000000004,-84.533252,06/30/2021 10:24:46 PM,3.2,NW,10,0.0,3277.2,06/30/2021 10:24:49 PM,Motion Start,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
1074,258,39.139423,-84.53326700000001,06/30/2021 10:24:48 PM,0.0,NNW,9,0.0,3277.2,06/30/2021 10:24:50 PM,Motion Stop,B-GJ13163509,I & I & CENTRAL PKWY & HOPPLE ST & I,W MARTIN LUTHER KING JR DR,I-75 NB EXWY TO HOPPLE ST RAMP,
1066,258,39.139497999999996,-84.53332900000001,06/30/2021 10:25:24 PM,3.7,NW,10,0.0,3277.2,06/30/2021 10:25:28 PM,Motion Start,,,,,
